timeMS,CH,CLE,CRE,aX,aY,aZ
3574,-0.9137,1.8309,2.1848,0.00,0.00,0.00
3583,-0.9149,1.8335,2.1844,0.00,-0.12,0.47
3592,-0.9147,1.8348,2.1863,0.00,-0.12,0.47
3601,-0.9157,1.8321,2.1868,0.00,-0.12,0.47
3610,-0.9134,1.8333,2.1846,0.00,-0.12,0.47
3619,-0.9133,1.8331,2.1840,0.00,-0.12,0.47
3628,-0.9150,1.8335,2.1858,0.00,-0.12,0.47
3637,-0.9147,1.8335,2.1858,0.00,-0.12,0.47
3646,-0.9153,1.8313,2.1856,0.00,-0.12,0.47
3655,-0.9141,1.8319,2.1860,0.00,-0.12,0.47
3664,-0.9141,1.8325,2.1849,0.00,-0.12,0.47
3673,-0.9128,1.8336,2.1865,0.00,-0.12,0.47
3682,-0.9131,1.8329,2.1862,0.00,-0.12,0.47
3691,-0.9159,1.8326,2.1864,0.00,-0.12,0.47
3700,-0.9140,1.8335,2.1860,0.00,-0.12,0.47
3709,-0.9159,1.8299,2.1831,0.00,-0.12,0.47
3718,-0.9143,1.8310,2.1869,0.00,-0.12,0.47
3727,-0.9154,1.8347,2.1860,0.00,-0.12,0.47
3736,-0.9124,1.8318,2.1861,0.00,-0.12,0.47
3745,-0.9166,1.8296,2.1854,0.00,-0.12,0.47
3754,-0.9147,1.8313,2.1850,0.00,-0.12,0.47
3763,-0.9153,1.8322,2.1834,0.00,-0.12,0.47
3772,-0.9124,1.8341,2.1867,0.00,-0.12,0.47
3781,-0.9123,1.8333,2.1857,0.00,-0.12,0.47
3790,-0.9168,1.8334,2.1858,0.00,-0.12,0.47
3799,-0.9144,1.8322,2.1866,0.00,-0.12,0.47
3808,-0.9134,1.8322,2.1872,0.00,-0.12,0.47
3817,-0.9129,1.8336,2.1835,0.00,-0.12,0.47
3826,-0.9144,1.8330,2.1839,0.00,-0.12,0.47
3835,-0.9146,1.8326,2.1853,0.00,-0.12,0.47
3844,-0.9131,1.8321,2.1849,0.00,-0.12,0.47
3853,-0.9134,1.8318,2.1846,0.00,-0.12,0.47
3862,-0.9128,1.8312,2.1842,0.00,-0.12,0.47
3871,-0.9155,1.8329,2.1871,0.00,-0.12,0.47
3880,-0.9133,1.8332,2.1862,0.00,-0.12,0.47
3889,-0.9160,1.8326,2.1859,0.00,-0.12,0.47
3898,-0.9143,1.8323,2.1858,0.00,-0.12,0.47
3907,-0.9146,1.8349,2.1856,0.00,-0.12,0.47
3916,-0.9121,1.8322,2.1869,0.00,-0.12,0.47
3925,-0.9133,1.8334,2.1865,0.00,-0.12,0.47
3934,-0.9123,1.8308,2.1859,0.00,-0.12,0.47
3943,-0.9152,1.8327,2.1846,0.00,-0.12,0.47
3952,-0.9132,1.8325,2.1865,0.00,-0.12,0.47
3961,-0.9136,1.8323,2.1881,0.00,-0.12,0.47
3970,-0.9151,1.8344,2.1880,0.00,-0.12,0.47
3979,-0.9128,1.8326,2.1867,0.00,-0.12,0.47
3988,-0.9143,1.8312,2.1843,0.00,-0.12,0.47
3997,-0.9129,1.8322,2.1857,0.00,-0.12,0.47
4006,-0.9146,1.8341,2.1853,0.00,-0.12,0.47
4015,-0.9153,1.8307,2.1872,0.00,-0.12,0.47
4024,-0.9129,1.8326,2.1863,0.00,-0.12,0.47
4033,-0.9149,1.8318,2.1859,0.00,-0.12,0.47
4042,-0.9148,1.8318,2.1850,0.00,-0.12,0.47
4051,-0.9137,1.8333,2.1857,0.00,-0.12,0.47
4060,-0.9143,1.8332,2.1839,0.00,-0.12,0.47
4069,-0.9144,1.8314,2.1855,0.00,-0.12,0.47
4078,-0.9141,1.8324,2.1858,0.00,-0.12,0.47
4087,-0.9134,1.8339,2.1847,0.00,-0.12,0.47
4096,-0.9140,1.8310,2.1873,0.00,-0.12,0.47
4105,-0.9112,1.8331,2.1862,0.00,-0.12,0.47
4114,-0.9143,1.8326,2.1864,0.00,-0.12,0.47
4123,-0.9144,1.8327,2.1837,0.00,-0.12,0.47
4132,-0.9133,1.8320,2.1861,0.00,-0.12,0.47
4141,-0.9137,1.8338,2.1842,0.00,-0.12,0.47
4150,-0.9159,1.8320,2.1863,0.00,-0.12,0.47
4159,-0.9126,1.8314,2.1857,0.00,-0.12,0.47
4168,-0.9136,1.8325,2.1819,0.00,-0.12,0.47
4177,-0.9135,1.8317,2.1864,0.00,-0.12,0.47
4186,-0.9148,1.8333,2.1857,0.00,-0.12,0.47
