tag,channel,band_hz,metric,spearman_rho,p_value,n_subj
q30,CLE,0-0.5,resp_robust,0.143,0.787,6
q30,CLE,0-0.5,latency_s,0.725,0.103,6
q30,CLE,0.5-1,resp_robust,0.257,0.623,6
q30,CLE,0.5-1,latency_s,0.086,0.872,6
q30,CLE,1-3,resp_robust,0.486,0.329,6
q30,CLE,1-3,latency_s,0.029,0.957,6
q30,CRE,0-0.5,resp_robust,0.314,0.544,6
q30,CRE,0-0.5,latency_s,0.429,0.397,6
q30,CRE,0.5-1,resp_robust,0.143,0.787,6
q30,CRE,0.5-1,latency_s,0.429,0.397,6
q30,CRE,1-3,resp_robust,0.143,0.787,6
q30,CRE,1-3,latency_s,0.543,0.266,6
q30,CH,0-0.5,resp_robust,0.143,0.787,6
q30,CH,0-0.5,latency_s,0.943,0.005,6
q30,CH,0.5-1,resp_robust,0.6,0.208,6
q30,CH,0.5-1,latency_s,0.754,0.084,6
q30,CH,1-3,resp_robust,0.6,0.208,6
q30,CH,1-3,latency_s,0.886,0.019,6
