session,quiet_pre_s,n_onsets,dur_hr,nrem_hr,onsets_per_nrem_hr,pct_in_nrem,n_N3,n_N2,median_iei_s
S1N1,15,22,7.95,4.3,5.12,100.0,1,21,309.4
S1N1,30,24,7.95,4.3,5.58,100.0,0,24,254.0
S1N2,15,13,7.63,3.04,4.27,100.0,1,12,398.2
S1N2,30,9,7.63,3.04,2.96,100.0,0,9,2316.6
S2N1,15,108,7.73,7.48,14.45,100.0,3,105,152.1
S2N1,30,99,7.73,7.48,13.24,100.0,1,98,127.4
S2N2,15,86,6.77,6.51,13.21,100.0,3,83,158.1
S2N2,30,80,6.77,6.51,12.29,100.0,0,80,135.1
S3N1,15,30,6.93,4.77,6.29,100.0,1,29,251.1
S3N1,30,31,6.93,4.77,6.5,100.0,1,30,167.4
S3N2,15,37,8.66,5.82,6.36,100.0,1,36,230.3
S3N2,30,44,8.66,5.82,7.56,100.0,1,43,240.6
S4N1,15,19,6.18,4.03,4.72,100.0,0,19,424.7
S4N1,30,17,6.18,4.03,4.22,100.0,0,17,424.7
S4N2,15,9,6.02,3.45,2.61,100.0,1,8,660.4
S4N2,30,4,6.02,3.45,1.16,100.0,0,4,629.6
S5N1,15,2,4.11,2.48,0.81,100.0,1,1,5169.3
S5N1,30,1,4.11,2.48,0.4,100.0,0,1,
S5N2,15,7,4.74,3.12,2.25,100.0,0,7,1838.8
S5N2,30,6,4.74,3.12,1.93,100.0,0,6,3409.6
S6N1,15,19,5.16,4.09,4.64,100.0,0,19,292.1
S6N1,30,12,5.16,4.09,2.93,100.0,0,12,867.2
S6N2,15,28,5.78,5.18,5.4,100.0,2,26,362.6
S6N2,30,17,5.78,5.18,3.28,100.0,1,16,471.2
