tag,channel,band_hz,estimator,"near[-3,0]_realMinusNull_z",near_n_subj_pos,"mid[-8,-3]_realMinusNull_z",mid_n_subj_pos,rise_onset_t_s
q30,CLE,0-0.5,zerophase,0.414,6,0.275,6,-24.2
q30,CLE,0-0.5,causal,0.029,3,-0.005,2,-3.2
q30,CLE,0.5-1,zerophase,0.184,4,-0.053,1,-25.4
q30,CLE,0.5-1,causal,-0.026,1,-0.017,1,-23.1
q30,CLE,1-3,zerophase,-0.022,3,0.044,3,-25.7
q30,CLE,1-3,causal,-0.027,2,0.032,4,-24.6
q30,CRE,0-0.5,zerophase,0.404,6,0.287,6,-22.8
q30,CRE,0-0.5,causal,0.01,2,0.007,4,3.1
q30,CRE,0.5-1,zerophase,0.058,3,-0.001,3,-23.4
q30,CRE,0.5-1,causal,0.009,3,-0.002,4,-25.0
q30,CRE,1-3,zerophase,-0.008,3,-0.026,2,-25.9
q30,CRE,1-3,causal,-0.0,3,-0.028,2,-25.1
q30,CH,0-0.5,zerophase,0.348,4,0.201,4,-14.8
q30,CH,0-0.5,causal,-0.034,2,-0.015,2,3.1
q30,CH,0.5-1,zerophase,0.112,4,0.016,3,-16.0
q30,CH,0.5-1,causal,0.003,3,-0.034,1,-20.8
q30,CH,1-3,zerophase,0.023,3,0.047,3,-7.0
q30,CH,1-3,causal,0.024,3,0.026,3,-5.9
